Texto,Sentiment
"QT @VerbitskyH: RT @AliciaCastroAR: 🔴 Marcelo Mindlin entre “los mayores responsables de la fuga de capitales durante el gobierno de Mauricio Macri” Denunc… ; Los conocidos de siempre (El Grupo Clarin, Techint, Arcor, Pampa Energia y Aceitera General Deheza estan entre los mayores responsables de la fuga de capitales durante el gobierno de Macrì) https://t.co/PMy7U2I3hr via @elcoheteluna",NEGATIVE
Arcor revela su plan para que todo lo que consumis tenga envases reutilizables https://t.co/SPLRlpywD0 - Via @EconoSus https://t.co/hU6LAC3sSV,POSITIVE
Arcor revela su plan para que todo lo que consumis tenga envases reutilizables https://t.co/SPLRlpywD0 https://t.co/0QJ4hgvMZg,POSITIVE
@geonico07 @gastonbarro ¿El aceite de soja? Se exporta todo. Los otros derivados de la soja tambien Si querian alimentos hubieran expropiado a Molinos o a Arcor,NEUTRAL
RT @flyezequiel: Latam Airlines es emblematica y deja en la calle a 1.750 argentinos. Cual le sigue? Arcor? La Serenisima? Ford? Condor Estrella? Andesmar? @segregustavo https://t.co/NtLkbh66RH,NEGATIVE
Arcor inyecta USD30 millones a sus negocios de alimentos en Chile y Angola https://t.co/RunnKYBA6C,NEUTRAL
Arcor inyecta u$s30 millones a sus negocios en Chile y en Angola https://t.co/Bz8AzzJ6o5 https://t.co/TwnWpzQf5f,NEUTRAL
"RT @bucarey_carlos: Tras 70 años de trabajo, Arcor anuncio el cierre de La Campagnola gracias a TU voto de enojo en contra de Macri hoy estamos viviendo esto fabricas cerradas y gente sin trabajo. https://t.co/d9jmDFQFTk",NEGATIVE
"👉 #MañanaSylvestre | 🗣🎙Si hay algo que no esta en peligro en la Argentina es la propiedad privada. La propiedad privada estuvo en peligro con @mauriciomacri. Al punto tal que Arcor, La Serenisima y Molinos dieron balances negativos@SantoroLeandro a @Gatosylvestre en @Radio10",NEGATIVE
"RT @Diario26Oficial: Por casos de coronavirus, cerraron planta de Bagley-Arcor en Salto y hay 500 personas en cuarentena https://t.co/XbHUdx5HIX https://t.co/H2kGcEJYHI",NEGATIVE
"Brecha de contagio de #COVID19 en Salto, pcia bs as. El foco, la fabrica de bagley-arcor, laburan 1500 personas. Fallo el protocolo claramente. +info aca: https://t.co/DxejpVcqTu https://t.co/VyKnMAu2jP",NEGATIVE
"QT @Ballet_Cosmico: Arcor, Faber Castell y manaos ; Si pudiesen tener canje de 3 marcas, solo 3, pero LAS QUE QUIERAN. Cual eligen comenten aber",POSITIVE
"@Danielde_Catan No podes hablar de soberania alimentaria, Daniel. No expropiaron Arcor.",NEUTRAL
"La mejor manera de refutar a estos libertarados es explicarles que si el gobierno tuviera el afan de expropiar empresas privadas hubiera ido por Arcor, Techint, Bago, Molinos, Mastellone y Clarin. No por una empresa endeudada hasta la verga.",NEUTRAL
Hoy #EXPROPIESE vicentin y despues las otras cerealeras mañana Arcor..van atacar todo lo q es alimento primero pasado.... la serenisima despues frigorificos luego iran por techint despues por automotrices luego los latifundios rurales despues los grandes terrenos urbanos beso,NEUTRAL
QT @AlejoDaireaux: El de banana es el mas rico NO SE DISCUTE ; 147 de banana 65 de cereza 8 de durazno 7 de manzana ¿@arcor me pueden dar una explicacion? https://t.co/a5slfpXEBx,POSITIVE
QT @AlejoDaireaux: Esto debe ser lo mas parecido al INFIERNO ; 147 de banana 65 de cereza 8 de durazno 7 de manzana ¿@arcor me pueden dar una explicacion? https://t.co/a5slfpXEBx,POSITIVE
RT @AlejoDaireaux: 147 de banana 65 de cereza 8 de durazno 7 de manzana ¿@arcor me pueden dar una explicacion? https://t.co/a5slfpXEBx,POSITIVE
QT @AlejoDaireaux: nunca tuiteando sobre frutas ustedes eh ; 147 de banana 65 de cereza 8 de durazno 7 de manzana ¿@arcor me pueden dar una explicacion? https://t.co/a5slfpXEBx,POSITIVE
Saludamos a la gente de @arcor y agradecemos su mensaje. De esta salimos juntos. https://t.co/CV2Vp5D5jk,POSITIVE
"RT @AlanLongy: Alberto se reune con empresarios en Olivos. Fueron invitados Pagani (Arcor), Kaufman (Accenture), Perez Companc (Molinos), Migoya (Globant) y Paolo Rocca (Techint) quien se ausento.",NEUTRAL
"Reiteramos 🔴 | @alferdez cito fuera de agenda a los empresarios: Pagani (Arcor), Kaufman (Accenture), Perez Companc (Molinos), Migoya (Globant) y Paolo Rocca (Techint) quien se ausento #SiempreNoticiasR10 https://t.co/MCGhrKi1Hy",NEUTRAL
Cuales son las alternativas para seguir cuidando la salud mientras sigue la cuarentena https://t.co/6o8c8ZIW1G [@arcor | #BrandNews],NEUTRAL
RT @Juli_Strada: Arcor se ubica en el puesto 30 de fuga con U$S 255 millones de dolares. Bagley es controlada por Arcor desde el año 2005 (en sociedad con la francesa Danone). Bagley figura en la fuga del macrismo en el puesto 76 con 105 millones de dolares.,NEGATIVE
"RT @Juli_Strada: Pagani es Presidente del Grupo Arcor desde 1993. Presidio AEA (Asociacion Empresaria Argentina) desde 2003 a 2009. Esta en el puesto 11 de Forbes de los patrimonios mas grandes al año 2018, con un total de U$S 1.100 millones. Dos de sus empresas estan en el listado del BCRA.",NEUTRAL
"Alimentacion y ejercicio, pilares para la salud durante el aislamiento [@arcor | #BrandNews] https://t.co/UnVgSoBq7M",NEUTRAL
"RT @TNConBienestar: Alimentacion y ejercicio, pilares para la salud durante el aislamiento [@arcor | #BrandNews] https://t.co/4dfxyAvbtF",NEUTRAL
RT @TNConBienestar: Cuales son las alternativas para seguir cuidando la salud mientras sigue la cuarentena https://t.co/Nh8z2yqVXJ [@arcor | #BrandNews],NEUTRAL
"RT @RPN_Oficial: Segun un informe publicado por el Banco Central el Grupo Clarin, Techint, Arcor, Pampa Energia y Aceitera General Deheza figuran entre quienes sacaron del pais 86.000 millones de dolares, con “una notable concentracion en unos pocos actores economicos” https://t.co/gMwY2YXeAV",NEGATIVE
Arcor se ubica en el puesto 30 de fuga con U$S 255 millones de dolares. Bagley es controlada por Arcor desde el año 2005 (en sociedad con la francesa Danone). Bagley figura en la fuga del macrismo en el puesto 76 con 105 millones de dolares.,NEGATIVE
"Pagani es Presidente del Grupo Arcor desde 1993. Presidio AEA (Asociacion Empresaria Argentina) desde 2003 a 2009. Esta en el puesto 11 de Forbes de los patrimonios mas grandes al año 2018, con un total de U$S 1.100 millones. Dos de sus empresas estan en el listado del BCRA.",NEUTRAL
"Tras recortar costos y ajustar planes, Arcor volvio a generar ganancias https://t.co/Lj3Y2b7DUa https://t.co/pukMCjHjv9",POSITIVE
"#NegociosEnCuarentena 🏭En el primer trimestre, el Grupo #Arcor tuvo una ganancia de $476 millones. Las ventas tuvieron una baja del 7% en pesos y del 5% en volumen por @Gracielmoreno en @BAENegocios https://t.co/nSQZeodGj4",POSITIVE
"#NegociosEnCuarentena 🏭En el primer trimestre, el Grupo #Arcor tuvo una ganancia de $476 millones. Las ventas tuvieron una baja del 7% en pesos y del 5% en volumen #SigueTeniendoGanancias #AfectoPeroNoTanto por @Gracielmoreno en @BAENegocios https://t.co/6Kr3RN9GlI",POSITIVE
"Arcor: aunque bajo su volumen de ventas, obtuvo ganancias en lo que va del año https://t.co/PUuxkMGMMs",POSITIVE
Resultados recien publicados en la CNV del primer trimestre 2020 de Arcor👇 https://t.co/NPkA2GQHOo,POSITIVE
Salvemos al Kioso: el nuevo proyecto de Arcor para incentivar la apertura de comercios https://t.co/t0fUQXksXy,POSITIVE
Coronavirus en la Argentina: Arcor sale al rescate de 10.000 kioscos https://t.co/UaF2iaDTv2,POSITIVE
Lanza @arcor linea de apoyo a los kioscos. https://t.co/nQJwndElZ7,POSITIVE
"Despues del de Menta, Cual es el mejor? 😉 . . . . .#caramelos #ferplay #mejor #elegir #menta #naranja #frutilla #limon #manzana #sugus #cual #hoy #best arcor open25.hs en Ciudad Autonoma de Buenos Aires https://t.co/Lm4Bz7In9g",POSITIVE
"RT @ElForjista: El Grupo Clarin, Techint, Arcor, Pampa Energia y Aceitera General Deheza estan entre los mayores responsables de la fuga de capitales durante el gobierno del ex Presidente Maurizio Macrì Horacio Verbitsky",NEGATIVE
"RT @cyngarciaradio: #DEUDA. “El Grupo Clarin, Techint, Arcor, (y otras) estan entre los mayores responsables de la fuga de capitales durante el gobierno de @mauriciomacri ”,escribe @VerbitskyH en @elcoheteluna Como anticipamos en @AM750 estas empresas pidieron ayuda del gobierno para pagar sueldos https://t.co/TJRAs5yKok",NEGATIVE
"QT @VerbitskyH: RT @Juli_Strada: El analisis de la fuga de capitales durante el macrismo 2015-2019 con nombres y apellidos. Por @VerbitskyH 😏 El diagnostic… ; Los conocidos de siempre (El Grupo Clarin, Techint, Arcor, Pampa Energia y Aceitera General Deheza estan entre los mayores responsables de la fuga de capitales durante el gobierno de Macrì) https://t.co/PMy7U2I3hr via @elcoheteluna",NEGATIVE
"QT @VerbitskyH: RT @Gregoriodalbon: Hay que demandarlos y cumplir con el nunca mas a la fuga de capitales. Sino, seguira ocurriendo. ; Los conocidos de siempre (El Grupo Clarin, Techint, Arcor, Pampa Energia y Aceitera General Deheza estan entre los mayores responsables de la fuga de capitales durante el gobierno de Macrì) https://t.co/PMy7U2I3hr via @elcoheteluna",NEGATIVE
"RT @VerbitskyH: Los conocidos de siempre (El Grupo Clarin, Techint, Arcor, Pampa Energia y Aceitera General Deheza estan entre los mayores responsables de la fuga de capitales durante el gobierno de Macrì) https://t.co/PMy7U2I3hr via @elcoheteluna",NEGATIVE
"QT @VerbitskyH: Hay que demandarlos y cumplir con el nunca mas a la fuga de capitales. Sino, seguira ocurriendo. ; Los conocidos de siempre (El Grupo Clarin, Techint, Arcor, Pampa Energia y Aceitera General Deheza estan entre los mayores responsables de la fuga de capitales durante el gobierno de Macrì) https://t.co/PMy7U2I3hr via @elcoheteluna",NEGATIVE
"RT @AliciaCastroAR: Por nuestras limitaciones presupuestarias,por la prioridad que tiene atender la salud publica,,por las buenas intenciones de un gobierno popular que ha ordenado esta investigacion sobre quienes burlan al Estado, estos grupos empresarios no debieran ser beneficiarios de ayuda ATP ; Los conocidos de siempre (El Grupo Clarin, Techint, Arcor, Pampa Energia y Aceitera General Deheza estan entre los mayores responsables de la fuga de capitales durante el gobierno de Macrì) https://t.co/PMy7U2I3hr via @elcoheteluna",NEGATIVE
"RT @VerbitskyH: Los conocidos de siempre (El Grupo Clarin, Techint, Arcor, Pampa Energia y Aceitera General Deheza estan entre los mayores responsables de la fuga de capitales durante el gobierno de Macrì) https://t.co/PMy7U2I3hr via @elcoheteluna",NEGATIVE
"#DEUDA. “El Grupo Clarin, Techint, Arcor, (y otras) estan entre los mayores responsables de la fuga de capitales durante el gobierno de @mauriciomacri ”,escribe @VerbitskyH en @elcoheteluna Como anticipamos en @AM750 estas empresas pidieron ayuda del gobierno para pagar sueldos https://t.co/TJRAs5yKok",NEGATIVE
"QT @VerbitskyH: RT @AliciaCastroAR: Miro por la ventana en la madrugada, la calle casi desierta; un hombre solo, abandonado, merodeando sin techo ni comida… ; Los conocidos de siempre (El Grupo Clarin, Techint, Arcor, Pampa Energia y Aceitera General Deheza estan entre los mayores responsables de la fuga de capitales durante el gobierno de Macrì) https://t.co/PMy7U2I3hr via @elcoheteluna",NEGATIVE
"QT @VerbitskyH: El analisis de la fuga de capitales durante el macrismo 2015-2019 con nombres y apellidos. Por @VerbitskyH 😏 El diagnostico es por aca: ; Los conocidos de siempre (El Grupo Clarin, Techint, Arcor, Pampa Energia y Aceitera General Deheza estan entre los mayores responsables de la fuga de capitales durante el gobierno de Macrì) https://t.co/PMy7U2I3hr via @elcoheteluna",NEGATIVE
"RT @VerbitskyH: Los conocidos de siempre (El Grupo Clarin, Techint, Arcor, Pampa Energia y Aceitera General Deheza estan entre los mayores responsables de la fuga de capitales durante el gobierno de Macrì) https://t.co/PMy7U2I3hr via @elcoheteluna",NEGATIVE
"Los conocidos de siempre (El Grupo Clarin, Techint, Arcor, Pampa Energia y Aceitera General Deheza estan entre los mayores responsables de la fuga de capitales durante el gobierno de Macrì) https://t.co/PMy7U2I3hr via @elcoheteluna",NEGATIVE
"🗞 Exclusivo periodistas y comunicadores: Curso online La infancia en el centro del debate: Fundacion Arcor lanza un nuevo curso virtual especialmente dirigido a periodistas, comunicadores y estudiantes de carreras afines que incluye… https://t.co/8XQ5ff5FZZ #Rosario3",POSITIVE
"@raton49 @EmpresarialARG Es un error generalizar, arcor es de pagani. Precision = comprension",NEUTRAL
RT @EmpresarialARG: Deciden un paro en las plantas de Arcor para protestar contra los recortes salarios en plena pandemia https://t.co/if6IA4vPrY,NEGATIVE
"RT @IsmaelBermudez1: ARCOR: falta de pago de presentismo, horas nocturnas y recorte salarial de entre $ 10.000 y $ 14.000 entre los llamados grupo de riesgo y falta de pago del salario a los trabajadores/as que adhirieron al del cuidado de sus hijos conforme las disposiciones del M.Trabajo.(FTIA)",NEGATIVE
"QT @IsmaelBermudez1: Los miserables ; ARCOR: falta de pago de presentismo, horas nocturnas y recorte salarial de entre $ 10.000 y $ 14.000 entre los llamados grupo de riesgo y falta de pago del salario a los trabajadores/as que adhirieron al del cuidado de sus hijos conforme las disposiciones del M.Trabajo.(FTIA)",NEGATIVE
"ARCOR: falta de pago de presentismo, horas nocturnas y recorte salarial de entre $ 10.000 y $ 14.000 entre los llamados grupo de riesgo y falta de pago del salario a los trabajadores/as que adhirieron al del cuidado de sus hijos conforme las disposiciones del M.Trabajo.(FTIA)",NEGATIVE
"RT @VilchesLaura: El gobierno de la provincia de Cordoba con su policia que esta cebada por las ordenes que le dan, se llevo detenidos a dos pibxs trabajadores de apps. Lo hizo hace apenas dias con los municipales de Jesus Maria.Irrumpio en una asamblea de trabajadores de ARCOR. Ahora esto (hilo)",NEUTRAL
Tucuman se suma a un paro en las plantas de Arcor contra los recortes https://t.co/UdNPJ8NbMf,NEGATIVE
Los trabajadores de la industria alimentaria anunciaron un paro en las fabricas de Arcor https://t.co/bEeqsivTyA https://t.co/iiLRWTFDFi,NEGATIVE
Los trabajadores de la industria alimentaria anunciaron un paro en las fabricas de Arcor https://t.co/x6fOoVcvXJ https://t.co/MW21B7vGho,NEGATIVE
"QT @AgenciaElVigia: Olvidate, ninguno de estos empresarios viaja en transporte publico como lo hacen sus empleados. La vida de sus trabajadores les importa un pito. ; Los empresarios que insisten para que el Gobierno relaje la cuarentena: Paolo Rocca, Luis Pagani (Arcor), Cristiano Rattazzi (Fiat), Hector Magnetto (Clarin), Marcos Galperin (Mercado Libre) y Jaime Campos (Sociedad Rural), entre otros. https://t.co/bwB7WvnDMy via @minutounocom",NEGATIVE
"Los empresarios que insisten para que el Gobierno relaje la cuarentena: Paolo Rocca, Luis Pagani (Arcor), Cristiano Rattazzi (Fiat), Hector Magnetto (Clarin), Marcos Galperin (Mercado Libre) y Jaime Campos (Sociedad Rural), entre otros. https://t.co/bwB7WvnDMy via @minutounocom",NEUTRAL
"QT @NoisyWrebelde: ¿Te acordas cuando en el colegio dormias la mitad de la clase y la otra mitad no entendias nada de algo, pero absolutamente nada de nada? Y de pronto te agarraban boludeando y el profesor preguntaba: alumno explique lo que estaba diciendo. Bueno, salia algo parecido a esto 👇 ; @LuchoBugallo No mientas. Exportan y no liquidan.Venden a precio U$S nuestra produccion y la renta de los campos las fijan en quintales de soja. Y, si hay alimento para pocos es porq la inflacion la produce la poca competencia en manos de Molinos, Arcor y aceites general Deheza! #EmbestidaPRO",NEUTRAL
"QT @NoisyWrebelde: Cuando vas leyendo el panfleto que te mandaron desde la Unidad Basica, confundis el escalon, rodas por la escalera, das cuatro vueltas carnero, perdes la dentadura postiza y la mitad de los ruleros y se te ocurre twittear las mentiras antes de recuperar el conocimiento... ; @LuchoBugallo No mientas. Exportan y no liquidan.Venden a precio U$S nuestra produccion y la renta de los campos las fijan en quintales de soja. Y, si hay alimento para pocos es porq la inflacion la produce la poca competencia en manos de Molinos, Arcor y aceites general Deheza! #EmbestidaPRO",NEUTRAL
Protestas en Arcor por descuentos salariales https://t.co/WzcEolkEAe,NEGATIVE
"RT @leobilanski: Arcor esta quebrada pero compra materia prima en efectivo y participaciones accionarias, nos toman por boludos. Ojo con los vicentines. 👇 Arcor invierte u$s3,97 M en Mastellone y eleva casi al 49% su participacion en la lactea https://t.co/EudKPUzfwL",NEGATIVE
Denuncian que la Policia prohibio una asamblea de trabajadores del grupo Arcor https://t.co/Us9aDLU9lr,NEGATIVE
"RT @marianoemartin: Hoy hubo paro de dos horas en las plantas de @arcor en todo el pais por descuentos a trabajadores exceptuados de sus labores y para exigir el pago de un plus. En Cordoba intentaron detener al titular del sindicato de Alimentacion, Hector Morcillo, en la planta de Bagley. (Sigue) https://t.co/o1fDKuVfKg",NEGATIVE
"Arcor esta quebrada pero compra materia prima en efectivo y participaciones accionarias, nos toman por boludos. Ojo con los vicentines. 👇 Arcor invierte u$s3,97 M en Mastellone y eleva casi al 49% su participacion en la lactea https://t.co/EudKPUzfwL",NEGATIVE
RT @MICyM_Cordoba: La auditoria remota que realizo la @direccionalimentos a la empresa @arcor fue una experiencia clave para nuestro @MICyM_Cordoba. @fernandosibilla https://t.co/G6D8jk6dtn,NEUTRAL
@mejorwing @AAAJoficial Hermosa camiseta! Checho y Silvano sin publicidad de 7up El Pato con marca propia Otros tiempos...,NEGATIVE
"Otra de sus definiciones fue: Este es un momento para no tirar piedras. Por eso luego destaco la actitud de los intendentes opositores de Vicente Lopez, Tres de Febrero y Lanus. Sobre los precios, señalo: Hemos detectado que @arcor tienen los mismos precios de diciembre.",POSITIVE
RT @VicPlanetTM: @zanoni Miren ahora en television Arcor la hizo bien... Mandas un WhatsApp y te mandan los huevos de pascuas a tu casa! Mas creativo y acertado que esto,POSITIVE
Una empresa creo una solucion para que todos puedan tener sus huevos de pascua sin salir de casa /Contenido patrocinado por @arcor/ https://t.co/JBBn5qRZxp,POSITIVE
@Ariel_80s Siiii. Es Arcor!,POSITIVE
"QT @capitanintriga: Lo necesito ; El huevo de Bob Esponja de Arcor es la cosa mas linda que vi en este año. Lleno de detalles, las figuras son de increible calidad y se desarma para montar la casa de Bob. https://t.co/VCxCNV4xl6",POSITIVE
Festeja Pascuas en casa con Arcor y un 50% de descuento https://t.co/WeeOk6FHX6 https://t.co/aowk3bpZQb,POSITIVE
"Si le mandas un WhatsApp a Arcor, te llevan este huevo u otro a tu casa para que no rompas el aislamiento #PascuasEnCasa https://t.co/qvFR0ra2p6",POSITIVE
"El huevo de Bob Esponja de Arcor es la cosa mas linda que vi en este año. Lleno de detalles, las figuras son de increible calidad y se desarma para montar la casa de Bob. https://t.co/VCxCNV4xl6",POSITIVE
"RT @gmarchis: @ChauOperetaK Imaginate si esto hubiese pasado com Macri y Vidal... incendian el apis los Kukas, Grabois toma Arcor, Kristina Aparece en Tv, Maximo hace huelga de Hambre, y Kichiloff arma una disertacion neo-Marxista.... ahhh no me confundi todos calladitos....",NEUTRAL
@liliana1025 @arcor Me fije pero no tiene distribuidor en Escobar.,NEUTRAL
"@LuzAredez buenos tardes. Gracias por escribirnos. Por favor si tenes alguna consulta o sugerencia envianos un email a arcor@arcor.com, con los siguientes datos:",NEUTRAL
"@azulvvam Hola, buenos dias. Muchas gracias por escribirnos. Te invitamos a enviar tu consulta a comunicacioninstitucional@arcor.com ¡Seguimos en contacto!",NEUTRAL
"📞Tiene mas de folklore que de efectividad. Iria a decirle a Urquia necesitamos 100 respiradores y estoy seguro que lo pone. Le decis a Pagani que Arcor se haga cargo del mantenimiento de 4 hospitales y estoy seguro de que lo hace, @ljuez en #AhoraDicen https://t.co/GDYR6Krpbb https://t.co/l7zMuUJqAx",POSITIVE
Me habia olvidado de Kici en esta publicidad de 7up (?) https://t.co/5RmzXJ1JWP,POSITIVE
QT @Martinpdisalvo: Y la 7up es mas rica que la Sprite ; LA PEPSI ES MAS RICA QUE LA COCA,POSITIVE
"QT @FabyDD: #FotosDeCanciones ; @osvaldobazan I’m on 45 between and Broadway, I’m drinking 7up! My Own way - Duran Duran https://t.co/oSoGbUbVDs",NEUTRAL
Sabor de la infancia: 7Up cuando te enfermabas y olor a taller.,POSITIVE
"QT @PKBellas: Coincido en un 99,9999999 % ; Cosas que no odio pero no soy fan: el mondongo, el pop español, la 7up, Coldplay, Cristiano Ronaldo, Friends, Atalaya, Axel Kiciloff.",NEGATIVE
RT @RetropediaAr: Promo de #Pepsi y #7up Superpreguntas Hay que buscar las preguntas en el diario y tener la respuesta en la chapita @Nico_Scarpino #Especial #Retropedia #Gaseosas #ComidasYBebidas #90s #Publicidades https://t.co/r2PKx3iaef,NEUTRAL
la cuaretena me enseña a respetar todas las comidas antes te sobrevivia con un turron arcor y un paquete de kesbun sabor pizza bajado con un matecocido,NEUTRAL
Just uploaded Lic Claudio Giomi Gte Corporativo de Sustentabilidad de @arcorprensa_ar... to @mixcloud https://t.co/1lOuo42DZL Tune in now!,NEUTRAL
He publicado un episodio en #ivoox Lic Claudio Giomi Gte Corporativo de Sustentabilidad de @arcorprensa_ar @arcor @eqsuman 30-6-2020 #podcast https://t.co/TKVgGnK9v9,NEUTRAL
"RT @GiordanoGringo: No bajemos los brazos, dice @alferdez Pero los trabajadores nunca los bajaron a pesar del hambre y la rebaja salarial y jubilatoria. Los que siguen en otra sintonia son Techint, Arcor, Coto, Galperin, los bancos, laboratorios, Grobocopatel, a quienes el gobierno no los toca. https://t.co/iXEpLXRWxJ",NEGATIVE
RT @AlejoDaireaux: 147 de banana 65 de cereza 8 de durazno 7 de manzana ¿@arcor me pueden dar una explicacion? https://t.co/a5slfpXEBx,POSITIVE
"RT @GiordanoGringo: Gracias Bulgheroni, gracias Techint, Arcor, Aluar-Fate... con estos nos vamos a salvar @alferdez ? https://t.co/gPFPwksAjg",NEUTRAL
"RT @gustavovaldesok: Finalmente, visitamos la nueva Estacion Transformadora de @OficialDPEC que potenciara la importante produccion yerbatera de la localidad, y la Planta de Distribucion de @arcor. Con inversiones, ¡seguimos potenciando el crecimiento economico y social de la pujante #ColoniaLiebig! https://t.co/V3z4U1TkOO",POSITIVE
"Finalmente, visitamos la nueva Estacion Transformadora de @OficialDPEC que potenciara la importante produccion yerbatera de la localidad, y la Planta de Distribucion de @arcor. Con inversiones, ¡seguimos potenciando el crecimiento economico y social de la pujante #ColoniaLiebig! https://t.co/V3z4U1TkOO",POSITIVE
"@ManuZuluaga11 Hola! Mogul, es de Arcor. ¡Saludos! Servicio de Atencion al Consumidor.",NEUTRAL
Balance de Arcor. #Pandemia https://t.co/i3X3Txa8Tq,NEUTRAL
"Claudio Giomi, Gerente Corporativo de #Sustentabilidad de @arcor afirma🍎 Nos enfocamos en proteger la salud de nuestro publico interno. Tambien decidimos darle continuidad al programa de #ComprasInclusivas para apoyar a los sectores mas vulnerables. https://t.co/y0uufdyAqN",POSITIVE
"RT @VerbitskyH: Los conocidos de siempre (El Grupo Clarin, Techint, Arcor, Pampa Energia y Aceitera General Deheza estan entre los mayores responsables de la fuga de capitales durante el gobierno de Macrì) https://t.co/PMy7U2I3hr via @elcoheteluna",NEGATIVE
"RT @LilianaOlivero: #ImpuestoGrandesFortunasYa A Techint, Arcor, Fiat, Grobocopatel, Toyota, Edenor y las privatizadas, petroleras, Coto, Carrefour, Cargill, los bancos, laboratorios y tantos capitalistas mas!!",NEGATIVE
"RT @AmbienteLucha: #ImpuestoGrandesFortunasYa A Techint, Arcor, Fiat, Grobocopatel, Toyota, Edenor y las privatizadas, petroleras, Coto, Carrefour, Cargill, los bancos, laboratorios y tantos capitalistas mas!!",NEGATIVE
"RT @GiordanoGringo: #ImpuestoGrandesFortunasYa A Techint, Arcor, Fiat, Grobocopatel, Toyota, Edenor y las privatizadas, petroleras, Coto, Carrefour, Cargill, los bancos, laboratorios y tantos capitalistas mas!!",NEGATIVE
"RT @rodosanchez_ar: #ImpuestoGrandesFortunasYa A Techint, Arcor, Fiat, Grobocopatel, Toyota, Edenor y las privatizadas, petroleras, Coto, Carrefour, Cargill, los bancos, laboratorios y tantos capitalistas mas!!",NEGATIVE
"@Abru_ochoa Hola, buenas tardes. Si, son de Arcor. Nos gustaria comunicarnos con vos, te agradecemos nos envies un MP con tu nombre/apellido y telefono (codigo de area). Esperamos tu respuesta. ¡Saludos! Servicio de Atencion al Consumidor.",NEUTRAL
Agradecemos enormemente el trabajo de @adrianalaz #OmarDiNardo y #AngieViacava ! 👏 Pudimos realizarlo gracias al apoyo de @DisneyPrensaArg @BancoGalicia @arcor @DossierNet #MorenoCondis @OCACorreoOK @mccannbue @ICBCArgentina @L2_LaSegunda @OmintEmpleos ...,POSITIVE
Desde Grupo Arcor acompañamos a la comunidad celiaca con una campaña de comunicacion donde proponemos redefinir las siglas T.A.C.C para transformarlas en un mensaje de amor para toda la comunidad y sus seres queridos. Te.Agradezco.Con.Cariño Te.Acompaño.Con.Cuidado https://t.co/ghO79w0fi7,POSITIVE
